"","Title","Year","Rated","Released","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Ratings.Source","Ratings.Value","Metascore","imdbRating","imdbVotes","imdbID","Type","tomatoMeter","tomatoImage","tomatoRating","tomatoReviews","tomatoFresh","tomatoRotten","tomatoConsensus","tomatoUserMeter","tomatoUserRating","tomatoUserReviews","tomatoURL","DVD","BoxOffice","Production","Website","Response"
"30","The Green Mile","1999","R","10 Dec 1999","189 min","Crime, Drama, Fantasy","Frank Darabont","Stephen King (novel), Frank Darabont (screenplay)","Tom Hanks, David Morse, Michael Clarke Duncan, Bonnie Hunt","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.","English, French","USA","Nominated for 4 Oscars. Another 15 wins & 30 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_SX300.jpg","Internet Movie Database","8.5/10","61","8.5","857,527","tt0120689","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/green_mile/","13 Jun 2000","N/A","Warner Bros. Pictures","http://www.thegreenmile.com","True"
"31","Psycho","1960","APPROVED","08 Sep 1960","109 min","Horror, Mystery, Thriller","Alfred Hitchcock","Joseph Stefano (screenplay), Robert Bloch (novel)","Anthony Perkins, Vera Miles, John Gavin, Janet Leigh","A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.","English","USA","Nominated for 4 Oscars. Another 5 wins & 9 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BOWQ0MjRmZmUtY2Q2Yi00ODcxLWE4NGMtMTNjMDY1YmUzMjVkXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg","Internet Movie Database","8.5/10","97","8.5","458,316","tt0054215","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/psycho/","06 Mar 2001","N/A","Paramount Pictures","N/A","True"
"32","Raiders of the Lost Ark","1981","PG","12 Jun 1981","115 min","Action, Adventure","Steven Spielberg","Lawrence Kasdan (screenplay), George Lucas (story by), Philip Kaufman (story by)","Harrison Ford, Karen Allen, Paul Freeman, Ronald Lacey","Archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis.","English, German, Hebrew, Spanish, Arabic, Nepali","USA","Won 4 Oscars. Another 30 wins & 23 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0ODEzMTc1Nl5BMl5BanBnXkFtZTcwODM2MjAxNA@@._V1_SX300.jpg","Internet Movie Database","8.5/10","85","8.5","709,587","tt0082971","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/raiders_of_the_lost_ark/","21 Oct 2003","N/A","Paramount Pictures","http://www.indianajones.com/raiders/","True"
"33","The Pianist","2002","R","28 Mar 2003","150 min","Biography, Drama, Music","Roman Polanski","Ronald Harwood (screenplay), Wladyslaw Szpilman (book)","Adrien Brody, Emilia Fox, Michal Zebrowski, Ed Stoppard","A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.","English, German, Russian","France, Poland, Germany, UK","Won 3 Oscars. Another 51 wins & 72 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BOWRiZDIxZjktMTA1NC00MDQ2LWEzMjUtMTliZmY3NjQ3ODJiXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg","Internet Movie Database","8.5/10","85","8.5","547,383","tt0253474","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/pianist/","27 May 2003","$32,519,322","Focus Features","http://www.thepianistmovie.com/","True"
"34","Rear Window","1954","APPROVED","01 Sep 1954","112 min","Mystery, Thriller","Alfred Hitchcock","John Michael Hayes (screenplay), Cornell Woolrich (based on the short story by)","James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter","A wheelchair-bound photographer spies on his neighbours from his apartment window and becomes convinced one of them has committed murder.","English","USA","Nominated for 4 Oscars. Another 6 wins & 8 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BNGUxYWM3M2MtMGM3Mi00ZmRiLWE0NGQtZjE5ODI2OTJhNTU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","Internet Movie Database","8.5/10","N/A","8.5","342,023","tt0047396","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/1017289-rear_window/","06 Mar 2001","N/A","Paramount Pictures","N/A","True"
"35","The Departed","2006","R","06 Oct 2006","151 min","Crime, Drama, Thriller","Martin Scorsese","William Monahan (screenplay), Alan Mak, Felix Chong","Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg","An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.","English, Cantonese","USA, Hong Kong","Won 4 Oscars. Another 92 wins & 134 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_SX300.jpg","Internet Movie Database","8.5/10","85","8.5","943,314","tt0407887","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/departed/","13 Feb 2007","$132,300,000","Warner Bros. Pictures","http://www.thedeparted.com/","True"
"36","Whiplash","2014","R","15 Oct 2014","107 min","Drama, Music","Damien Chazelle","Damien Chazelle","Miles Teller, J.K. Simmons, Paul Reiser, Melissa Benoist","A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.","English","USA","Won 3 Oscars. Another 88 wins & 135 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BOTVhMWQ5MDktMGE3OS00MjVlLWExZWYtMzY2MTg4ZGFiZDQ5L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg","Internet Movie Database","8.5/10","88","8.5","485,079","tt2582802","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/whiplash_2014/","24 Feb 2015","N/A","Sony Pictures Classics","http://sonyclassics.com/whiplash/","True"
"37","Terminator 2: Judgment Day","1991","R","03 Jul 1991","137 min","Action, Sci-Fi, Thriller","James Cameron","James Cameron, William Wisher Jr.","Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick","A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son, John Connor, from a more advanced cyborg.","English, Spanish","USA, France","Won 4 Oscars. Another 24 wins & 24 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMGU2NzRmZjUtOGUxYS00ZjdjLWEwZWItY2NlM2JhNjkxNTFmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg","Internet Movie Database","8.5/10","75","8.5","798,971","tt0103064","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/terminator_2_judgment_day/","31 Mar 1998","$198,116,802","TriStar Pictures","N/A","True"
"38","Back to the Future","1985","PG","03 Jul 1985","116 min","Adventure, Comedy, Sci-Fi","Robert Zemeckis","Robert Zemeckis, Bob Gale","Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover","Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.","English","USA","Won 1 Oscar. Another 18 wins & 26 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BZmU0M2Y1OGUtZjIxNi00ZjBkLTg1MjgtOWIyNThiZWIwYjRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","Internet Movie Database","8.5/10","86","8.5","798,211","tt0088763","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/back_to_the_future/","17 Dec 2002","$2,925,880","Universal Pictures","http://www.bttfmovie.com/","True"
"39","Gladiator","2000","R","05 May 2000","155 min","Action, Adventure, Drama","Ridley Scott","David Franzoni (story), David Franzoni (screenplay), John Logan (screenplay), William Nicholson (screenplay)","Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed","When a Roman general is betrayed and his family murdered by an emperor's corrupt son, he comes to Rome as a gladiator to seek revenge.","English","USA, UK","Won 5 Oscars. Another 53 wins & 101 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMDliMmNhNDEtODUyOS00MjNlLTgxODEtN2U3NzIxMGVkZTA1L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg","Internet Movie Database","8.5/10","67","8.5","1,059,523","tt0172495","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/gladiator/","21 Nov 2000","N/A","Dreamworks Distribution LLC","http://www.gladiator-thefilm.com","True"
"40","The Lion King","1994","G","24 Jun 1994","88 min","Animation, Adventure, Drama","Roger Allers, Rob Minkoff","Irene Mecchi (screenplay), Jonathan Roberts (screenplay), Linda Woolverton (screenplay), Burny Mattinson (story), Barry Johnson (story), Lorna Cook (story), Thom Enriquez (story), Andy Gaskill (story), Gary Trousdale (story), Jim Capobianco (story), Kevin Harkey (story), Jorgen Klubien (story), Chris Sanders (story), Tom Sito (story), Larry Leker (story), Joe Ranft (story), Rick Maki (story), Ed Gombert (story), Francis Glebas (story), Mark Kausler (story), J.T. Allen (additional story material), George Scribner (additional story material), Miguel Tejada-Flores (additional story material), Jenny Tripp (additional story material), Bob Tzudiker (additional story material), Christopher Vogler (additional story material), Kirk Wise (additional story material), Noni White (additional story material), Brenda Chapman (story supervisor)","Rowan Atkinson, Matthew Broderick, Niketa Calame, Jim Cummings","Lion cub and future king Simba searches for his identity. His eagerness to please others and penchant for testing his boundaries sometimes gets him into trouble.","English, Swahili, Xhosa, Zulu","USA","Won 2 Oscars. Another 33 wins & 30 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_SX300.jpg","Internet Movie Database","8.5/10","83","8.5","707,806","tt0110357","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/the_lion_king/","07 Oct 2003","$94,240,635","Buena Vista","http://disney.go.com/lionking/","True"
"41","The Prestige","2006","PG-13","20 Oct 2006","130 min","Drama, Mystery, Sci-Fi","Christopher Nolan","Jonathan Nolan (screenplay), Christopher Nolan (screenplay), Christopher Priest (novel)","Hugh Jackman, Christian Bale, Michael Caine, Piper Perabo","Two stage magicians engage in competitive one-upmanship in an attempt to create the ultimate stage illusion.","English","USA, UK","Nominated for 2 Oscars. Another 5 wins & 36 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_SX300.jpg","Internet Movie Database","8.5/10","66","8.5","922,672","tt0482571","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/prestige/","20 Feb 2007","$53,100,000","Buena Vista Pictures","http://touchstone.movies.go.com/index.html?dlink=prestige","True"
"42","Apocalypse Now","1979","R","15 Aug 1979","153 min","Drama, War","Francis Ford Coppola","John Milius, Francis Ford Coppola, Michael Herr (narration)","Marlon Brando, Martin Sheen, Robert Duvall, Frederic Forrest","During the Vietnam War, Captain Willard is sent on a dangerous mission into Cambodia to assassinate a renegade colonel who has set himself up as a god among a local tribe.","English, French, Vietnamese","USA","Won 2 Oscars. Another 18 wins & 31 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMDg1MDgzMmQtNDhlYS00MzZiLTllZGItNzliZTE1ODBiZDQwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg","Internet Movie Database","8.5/10","90","8.5","481,465","tt0078788","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/apocalypse_now/","20 Nov 2001","N/A","United Artists","http://www.zoetrope.com/zoe_films.cgi?page=films&action=show_one&film_id=13","True"
"43","Memento","2000","R","25 May 2001","113 min","Mystery, Thriller","Christopher Nolan","Christopher Nolan (screenplay), Jonathan Nolan (short story ""Memento Mori"")","Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior","A man juggles searching for his wife's murderer and keeping his short-term memory loss from being an obstacle.","English","USA","Nominated for 2 Oscars. Another 55 wins & 55 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BZTcyNjk1MjgtOWI3Mi00YzQwLWI5MTktMzY4ZmI2NDAyNzYzXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg","Internet Movie Database","8.5/10","80","8.5","909,341","tt0209144","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/memento/","04 Sep 2001","$23,844,220","Newmarket Films","http://www.otnemem.com","True"
"44","The Great Dictator","1940","APPROVED","07 Mar 1941","125 min","Comedy, Drama, War","Charles Chaplin","Charles Chaplin","Charles Chaplin, Jack Oakie, Reginald Gardiner, Henry Daniell","Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.","English, Esperanto","USA","Nominated for 5 Oscars. Another 6 wins & 1 nomination.","https://images-na.ssl-images-amazon.com/images/M/MV5BMmExYWJjNTktNGUyZS00ODhmLTkxYzAtNWIzOGEyMGNiMmUwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg","Internet Movie Database","8.5/10","N/A","8.5","151,705","tt0032553","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/great_dictator/","10 May 2010","N/A","Criterion Collection","N/A","True"
"45","Sunset Boulevard","1950","PASSED","29 Sep 1950","110 min","Drama, Film-Noir","Billy Wilder","Charles Brackett, Billy Wilder, D.M. Marshman Jr.","William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson","A screenwriter is hired to rework a faded silent film star's script only to find himself developing a dangerous relationship.","English","USA","Won 3 Oscars. Another 15 wins & 18 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTU0NTkyNzYwMF5BMl5BanBnXkFtZTgwMDU0NDk5MTI@._V1_SX300.jpg","Internet Movie Database","8.5/10","N/A","8.5","151,983","tt0043014","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/sunset_boulevard/","26 Nov 2002","N/A","Paramount Pictures","N/A","True"
"46","Alien","1979","R","22 Jun 1979","117 min","Horror, Sci-Fi","Ridley Scott","Dan O'Bannon (story), Ronald Shusett (story), Dan O'Bannon (screenplay)","Tom Skerritt, Sigourney Weaver, Veronica Cartwright, Harry Dean Stanton","After a space merchant vessel perceives an unknown transmission as a distress call, its landing on the source moon finds one of the crew attacked by a mysterious life-form, and they soon realize that its life cycle has merely begun.","English","UK, USA","Won 1 Oscar. Another 16 wins & 19 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BNDNhN2IxZWItNGEwYS00ZDNhLThiM2UtODU3NWJlZjBkYjQxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","Internet Movie Database","8.5/10","83","8.5","618,222","tt0078748","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/alien/","06 Jan 2004","N/A","20th Century Fox","http://www.foxmovies.com/index1.html","True"
"47","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","1964","PG","29 Jan 1964","95 min","Comedy","Stanley Kubrick","Stanley Kubrick (screenplay), Terry Southern (screenplay), Peter George (screenplay), Peter George (based on the book: ""Red Alert"" by)","Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn","An insane general triggers a path to nuclear holocaust that a war room full of politicians and generals frantically try to stop.","English, Russian","USA, UK","Nominated for 4 Oscars. Another 13 wins & 6 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2ODM2NTkxNF5BMl5BanBnXkFtZTcwOTMwMzU3Mg@@._V1_SX300.jpg","Internet Movie Database","8.5/10","96","8.5","367,328","tt0057012","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/dr_strangelove/","02 Nov 2004","N/A","Sony Pictures","N/A","True"
"48","Paths of Glory","1957","APPROVED","01 Nov 1957","88 min","Drama, War","Stanley Kubrick","Stanley Kubrick (screenplay), Calder Willingham (screenplay), Jim Thompson (screenplay), Humphrey Cobb (based on the novel ""Paths of Glory"" by)","Kirk Douglas, Ralph Meeker, Adolphe Menjou, George Macready","After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.","English, German, Latin","USA","Nominated for 1 BAFTA Film Award. Another 4 wins & 2 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMDdkYzE5ODYtMmIwZi00MDgzLTk1YWEtZTcwNGRmMzAwNDMzXkEyXkFqcGdeQXVyNDQzMDg4Nzk@._V1_SX300.jpg","Internet Movie Database","8.5/10","N/A","8.5","132,224","tt0050825","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/paths_of_glory/","15 May 2001","N/A","United Artists","N/A","True"
"49","Django Unchained","2012","R","25 Dec 2012","165 min","Drama, Western","Quentin Tarantino","Quentin Tarantino","Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington","With the help of a German bounty hunter , a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.","English, German, French, Italian","USA","Won 2 Oscars. Another 56 wins & 151 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_SX300.jpg","Internet Movie Database","8.4/10","81","8.4","1,047,465","tt1853728","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/django_unchained_2012/","16 Apr 2013","$162,804,648","The Weinstein Co.","http://unchainedmovie.com/","True"
"50","The Shining","1980","R","13 Jun 1980","146 min","Drama, Horror","Stanley Kubrick","Stephen King (novel), Stanley Kubrick (screenplay), Diane Johnson (screenplay)","Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers","A family heads to an isolated hotel for the winter where an evil and spiritual presence influences the father into violence, while his psychic son sees horrific forebodings from the past and of the future.","English","UK, USA","3 wins & 5 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BZWFlYmY2MGEtZjVkYS00YzU4LTg0YjQtYzY1ZGE3NTA5NGQxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","Internet Movie Database","8.4/10","61","8.4","664,418","tt0081505","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/shining/","29 Jun 1999","N/A","Warner Bros. Pictures","N/A","True"
